from,to,flag
12932983,12933876,1
12932296,12932406,1
12932681,12932035,1
12930993,12931293,1
12930395,12932190,1
12930422,12930500,1
12931462,12932066,1
12932089,12930396,1
12931985,12931818,1
12931740,12930756,1
12933441,12930731,1
12931658,12932086,1
12931843,12931163,1
12934061,12931643,1
12930422,12932589,1
12932892,12932002,1
12934414,12931782,1
12932584,12933567,1
12933504,12933190,1
12932365,12930301,1
12933044,12932308,1
12932326,12933707,1
12930282,12933505,1
12934486,12931163,1
12933294,12934066,1
12934479,12930574,1
12931658,12933190,1
12932908,12931113,1
12933204,12932365,1
12934326,12931818,1
12934517,12931782,1
12934056,12932072,1
12931740,12931742,1
12933623,12932528,1
12930281,12933707,1
12932624,12933190,1
12932908,12932406,1
12930526,12934506,1
12934502,12930137,1
12931603,12932072,1
12932128,12933429,1
12932882,12933876,1
12932297,12933077,1
12933623,12934546,1
12932816,12932946,1
12932296,12932908,1
12931882,12934275,1
12931658,12933198,1
12933200,12930232,1
12931031,12931293,1
12931820,12932409,1
12934468,12933707,1
12930731,12931801,1
12932780,12932843,1
12934159,12932308,1
12932296,12932072,1
12932946,12931516,1
12930668,12932851,1
12932892,12933111,1
12934414,12931516,1
12933991,12934433,1
12930282,12930756,1
12933937,12930845,1
12932645,12934264,1
12930573,12932951,1
12932517,12934081,1
12933429,12932086,1
12932296,12932745,1
12932983,12933092,1
12932326,12931293,1
12932955,12932783,1
12930550,12934372,1
12932297,12932406,1
12931820,12933291,1
12930948,12934546,1
12931045,12931707,1
12930784,12931782,1
12930534,12933707,1
12930573,12930574,1
12932128,12930515,1
12932020,12933429,1
12931462,12933429,1
12931603,12930731,1
12933540,12933190,1
12933314,12933190,1
12931740,12930660,1
12932893,12932528,1
12930583,12931782,1
12931348,12933505,1
12934502,12931112,1
12930534,12931503,1
12934502,12930165,1
12933441,12930232,1
12930537,12932308,1
12934502,12931602,1
12932983,12931344,1
12932645,12932327,1
12931113,12930165,1
12933450,12931782,1
12933948,12932365,1
12933441,12933567,1
12934404,12930301,1
12930289,12932327,1
12930510,12933824,1
12930724,12931602,1
12931985,12931782,1
12932783,12931293,1
12932296,12931793,1
12932908,12931801,1
12931274,12932844,1
12930422,12931355,1
12932908,12930590,1
12933190,12930515,1
12934404,12932089,1
12933020,12932870,1
12932297,12933111,1
12931480,12931462,1
12930137,12932946,1
12934159,12931045,1
12932327,12933198,1
12933204,12933435,1
12931631,12932173,1
12932297,12932086,1
12933441,12932089,1
12934124,12932470,1
12932123,12933435,1
12934479,12932091,1
12932594,12934347,1
12930948,12932406,1
12931344,12932128,1
12932870,12932409,1
12931740,12931119,1
12932128,12934264,1
12932297,12933429,1
12933441,12932327,1
12930573,12933540,1
12932892,12931344,1
12930422,12932035,1
12931603,12934372,1
12933948,12932780,1
12932951,12930550,1
12930422,12930129,1
12930537,12930771,1
12933441,12931050,1
12932029,12931782,1
12932517,12931050,1
12930422,12932664,1
12930422,12932365,1
12933672,12930261,1
12930573,12932213,1
12930422,12931163,1
12933441,12932918,1
12933441,12932031,1
12932297,12932528,1
12932409,12930712,1
12930616,12931782,1
12931603,12932870,1
12931740,12933314,1
12933637,12933505,1
12933198,12931746,1
12930443,12931119,1
12930724,12931985,1
12930510,12932128,1
12930281,12934546,1
12930647,12930712,1
12931161,12931643,1
12933294,12931293,1
12932035,12930301,1
12934546,12932870,1
12932296,12930391,1
12934061,12933876,1
12932018,12931782,1
12931740,12933792,1
12933991,12930731,1
12931462,12932946,1
12930281,12933948,1
12933200,12934393,1
12934275,12931119,1
12934124,12932783,1
12930422,12931113,1
12934404,12932072,1
12934264,12934008,1
12930537,12931050,1
12931603,12934393,1
12932297,12930712,1
12934124,12934081,1
12933437,12932908,1
12930580,12932908,1
12934502,12934506,1
12932296,12930515,1
12934502,12931293,1
12931655,12934393,1
12933441,12933661,1
12932882,12930847,1
12931655,12932365,1
12930550,12931818,1
12930573,12931112,1
12931113,12930515,1
12932843,12931782,1
12933441,12930129,1
12934502,12931119,1
12934404,12933567,1
12931740,12932772,1
12932681,12934285,1
12930129,12931119,1
12933441,12933294,1
12934546,12933429,1
12930590,12933876,1
12933284,12934081,1
12932892,12931330,1
12933441,12933629,1
12932908,12933200,1
12933441,12933956,1
12930647,12932745,1
12933441,12934285,1
12930731,12933077,1
12931740,12931824,1
12933441,12931793,1
12933441,12933506,1
12934159,12933540,1
12931603,12933291,1
12930660,12930261,1
12931843,12932851,1
12934502,12932787,1
12931850,12934264,1
12930526,12933020,1
12933441,12934359,1
12933441,12932844,1
12930165,12930515,1
12933441,12931629,1
12930137,12930574,1
12931631,12932777,1
12933441,12932898,1
12930391,12934461,1
12933441,12930712,1
12932892,12930500,1
12932893,12933505,1
12933441,12932075,1
12932296,12934081,1
12933566,12931293,1
12933441,12933906,1
12933937,12931593,1
12932296,12934275,1
12930550,12930261,1
12932860,12933053,1
12930590,12932409,1
12931631,12932166,1
12931746,12930396,1
12932983,12933707,1
12930422,12930270,1
12934543,12930847,1
12930282,12931344,1
12933441,12932624,1
12934414,12932870,1
12930164,12934275,1
12933441,12932664,1
12930573,12931344,1
12931603,12932624,1
12933441,12931746,1
12933435,12930712,1
12931741,12932951,1
12931882,12930731,1
12933441,12934275,1
12931045,12932029,1
12932297,12934442,1
12932780,12932946,1
12932206,12932407,1
12933441,12934393,1
12933441,12930641,1
12933441,12933541,1
12931740,12934422,1
12932365,12930261,1
12931031,12931782,1
12930469,12931293,1
12934347,12933876,1
12933441,12932860,1
12932296,12932528,1
12932946,12933506,1
12930422,12933020,1
12930968,12930515,1
12933204,12933460,1
12932166,12931462,1
12934502,12934372,1
12930164,12931330,1
12933948,12932409,1
12933441,12933155,1
12934404,12933429,1
12932584,12932898,1
12934159,12931344,1
12930515,12931293,1
12933380,12930641,1
12932797,12932213,1
12931843,12930771,1
12933441,12931082,1
12932190,12931293,1
12933441,12931361,1
12932908,12933504,1
12933437,12932327,1
12930281,12930574,1
12932297,12932173,1
12931740,12930515,1
12933441,12932843,1
12931740,12931472,1
12930534,12934546,1
12930573,12932589,1
12930422,12930660,1
12933441,12931516,1
12932297,12930356,1
12931740,12930165,1
12930526,12930137,1
12930164,12931358,1
12933441,12933111,1
12933441,12934508,1
12931740,12930261,1
12933441,12933077,1
12933190,12932691,1
12933441,12934514,1
12934502,12931742,1
12932745,12930590,1
12933441,12932528,1
12933441,12930195,1
12930422,12932791,1
12933441,12930165,1
12933441,12932072,1
12931740,12931746,1
12932513,12933190,1
12933441,12933558,1
12932882,12934461,1
12932908,12933647,1
12933204,12933948,1
12930573,12932066,1
12933441,12930299,1
12932695,12930847,1
12934546,12931782,1
12931894,12934461,1
12930526,12931293,1
12930731,12932893,1
12931031,12930847,1
12932681,12933077,1
12931882,12930396,1
12931655,12934081,1
12931740,12933707,1
12932681,12930165,1
12934414,12933294,1
12934479,12932745,1
12932645,12932528,1
12934372,12933661,1
12932908,12930396,1
12932787,12931595,1
12931036,12930469,1
12932983,12931818,1
12932594,12931036,1
12934133,12930756,1
12932787,12934078,1
12931274,12934461,1
12933164,12933512,1
12933566,12930712,1
12933437,12932816,1
12931740,12934538,1
12932851,12932035,1
12933441,12934347,1
12931603,12932365,1
12933441,12933190,1
12931801,12932528,1
12933441,12934277,1
12933294,12932691,1
12930395,12934461,1
12933937,12933950,1
12934502,12932783,1
12931740,12934526,1
12934502,12931330,1
12930500,12931293,1
12930526,12931274,1
12933441,12932731,1
12932693,12930515,1
12933429,12934393,1
12933441,12930396,1
12934517,12933429,1
12932517,12930771,1
12930422,12932797,1
12931741,12933972,1
12933441,12931163,1
12933441,12932375,1
12933450,12931818,1
12931877,12933647,1
12930510,12932731,1
12930580,12930731,1
12933441,12932173,1
12930164,12931163,1
12933204,12930301,1
12934393,12930395,1
12930647,12931462,1
12933441,12933291,1
12933450,12930712,1
12930165,12932691,1
12931462,12932780,1
12933441,12930443,1
12930534,12932955,1
12930422,12932816,1
12931088,12934442,1
12933441,12933950,1
12932892,12932893,1
12931742,12933732,1
12930580,12934277,1
12931274,12931462,1
12932584,12933077,1
12930282,12933707,1
12933441,12934433,1
12932693,12934393,1
12933796,12932251,1
12930770,12933824,1
12933441,12931036,1
12931603,12930301,1
12933937,12930968,1
12933441,12930356,1
12932983,12933505,1
12930647,12933077,1
12933062,12932955,1
12931082,12932745,1
12930573,12933314,1
12931740,12930968,1
12932645,12932470,1
12930282,12932407,1
12933441,12932365,1
12931780,12932470,1
12933441,12931593,1
12932296,12931330,1
12931655,12934347,1
12933629,12931595,1
12930182,12934275,1
12934422,12932409,1
12933441,12931797,1
12932123,12931593,1
12930616,12930261,1
12934159,12930165,1
12932296,12931894,1
12932123,12933567,1
12933991,12932816,1
12934275,12930443,1
12932681,12930655,1
12930526,12932072,1
12931828,12933903,1
12930770,12932955,1
12930422,12933198,1
12934414,12931036,1
