from,to,flag
1743,57727,1
1743,5905,1
1743,84823,1
1743,26986,1
1743,8301,1
1743,84630,1
1743,1778,1
1743,9219,1
1743,10165,1
1743,9112,1
1743,91746,1
1743,6877,1
1743,64318,1
1743,4172,1
1743,7155,1
1743,9688,1
1743,51340,1
1743,7082,1
1743,4141,1
1743,151887,1
1743,2186,1
1743,9656,1
1743,4641,1
1743,11234,1
1743,57690,1
10059,10627,1
10059,5216,1
10059,5478,1
10059,3945,1
10059,6156,1
10059,1627,1
10059,4830,1
10059,1152,1
10059,7167,1
10059,226,1
10059,10284,1
10059,10694,1
10059,6136,1
10059,7295,1
10059,1938,1
10059,7531,1
10059,7534,1
10059,7529,1
10059,3251,1
10059,10576,1
10059,375,1
10059,3939,1
10059,1984,1
10059,6155,1
10059,4191,1
10059,9588,1
10059,5705,1
10059,144983,1
10059,1933,1
10059,7001,1
10059,10856,1
10059,5702,1
10059,7317,1
10059,1937,1
10059,26517,1
10059,7415,1
10059,8607,1
10059,51639,1
10059,6741,1
10059,81,1
10059,7168,1
10059,10923,1
10059,2547,1
10059,3028,1
10059,3182,1
10059,26986,1
10059,3308,1
10059,9987,1
10059,3608,1
10059,51637,1
10059,1936,1
10059,10606,1
10059,10971,1
10059,191,1
10059,10130,1
10059,10963,1
10059,7184,1
10059,3615,1
10059,10921,1
10059,8407,1
10059,47,1
10059,3837,1
10059,5223,1
10059,11140,1
10059,5110,1
10059,4673,1
10059,6158,1
10059,10121,1
10059,6613,1
10059,10574,1
10059,7086,1
10059,8665,1
10059,2079,1
10059,26135,1
10059,5928,1
10059,11315,1
10059,117159,1
10059,5706,1
10059,5902,1
10059,5917,1
10059,5725,1
10059,7332,1
10059,9775,1
10059,5162,1
10059,5685,1
10059,6119,1
10059,5358,1
10059,2670,1
10059,5701,1
10059,4666,1
10059,115207,1
10059,5700,1
10059,10155,1
10059,3301,1
10059,10808,1
10059,3189,1
10059,10540,1
10059,9939,1
10059,10055,1
10059,3276,1
10059,4522,1
10059,5708,1
10059,27288,1
10059,1965,1
10059,8664,1
10059,87,1
10059,6500,1
10059,2194,1
10059,7520,1
10059,7430,1
10059,8662,1
10059,5202,1
10059,10598,1
10059,9188,1
10059,1615,1
10059,5411,1
10059,9184,1
10059,22985,1
10059,4629,1
10059,1104,1
10059,8661,1
10059,7919,1
10059,5704,1
10059,1778,1
10059,983,1
10059,51520,1
10059,4144,1
10059,7094,1
10059,6059,1
10059,23193,1
10059,4076,1
10059,8826,1
10059,6294,1
3028,7001,1
3028,6156,1
3028,1938,1
3028,5478,1
3028,5110,1
3028,9588,1
3028,8766,1
3028,387,1
3028,10694,1
3028,8668,1
3028,10627,1
3028,10576,1
3028,26986,1
3028,581,1
3028,55505,1
3028,10856,1
3028,10155,1
3028,4666,1
3028,5713,1
3028,4191,1
3028,5725,1
3028,396,1
3028,7184,1
3028,5879,1
3028,5717,1
3028,5721,1
3028,4809,1
3028,3608,1
3028,9521,1
3028,10130,1
3028,2547,1
3028,4736,1
3028,6613,1
3028,10935,1
3028,1937,1
3028,5706,1
3028,9775,1
3028,3043,1
3028,983,1
3028,682,1
3028,1936,1
3028,7317,1
3028,92597,1
3028,23760,1
3028,10574,1
3028,2782,1
3028,4673,1
3028,3251,1
3028,5705,1
3028,1615,1
3028,38,1
3028,302,1
3028,144983,1
3028,3735,1
3028,8407,1
3028,3013,1
3028,1994,1
3028,10927,1
3028,22913,1
3028,3189,1
3028,5434,1
3028,9987,1
3028,10972,1
3028,7167,1
3028,5499,1
3028,27339,1
3028,5700,1
3028,4172,1
3028,5437,1
3028,1933,1
3028,8607,1
3028,10921,1
3028,5709,1
3028,3065,1
3028,54504,1
3028,26097,1
3028,7520,1
3028,51639,1
3028,26135,1
3028,4632,1
3028,80218,1
3028,27288,1
3028,16,1
3028,5718,1
3028,8664,1
3028,7414,1
3028,11184,1
3028,11332,1
3028,3837,1
3028,4144,1
3028,5355,1
3028,11316,1
3028,4171,1
3028,10213,1
3028,51493,1
3028,3336,1
3028,10920,1
3028,871,1
3028,4174,1
3028,1460,1
3028,4173,1
3028,9184,1
3028,5518,1
3028,10197,1
3028,5931,1
3028,10421,1
3028,10054,1
3028,2237,1
3028,4676,1
3028,637,1
3028,10857,1
3028,10135,1
3028,10189,1
3028,9861,1
3028,55611,1
3028,10131,1
3028,5630,1
3028,3182,1
3028,11052,1
3028,5704,1
3028,2027,1
3028,79837,1
3028,1736,1
3028,51602,1
3028,221092,1
3028,1503,1
3028,10097,1
3028,4686,1
3028,2194,1
3028,5707,1
3028,10015,1
3028,1495,1
3028,57805,1
3028,55308,1
3028,1778,1
3028,4646,1
11315,9967,1
11315,10189,1
11315,144097,1
11315,9774,1
11315,1627,1
11315,26986,1
11315,10921,1
11315,26292,1
11315,26135,1
11315,7295,1
11315,29766,1
11315,10627,1
11315,5495,1
11315,7167,1
11315,375,1
11315,7529,1
11315,26097,1
11315,51474,1
11315,9588,1
11315,10131,1
11315,7168,1
11315,4942,1
11315,7534,1
11315,5478,1
11315,10454,1
11315,3608,1
11315,3028,1
11315,9987,1
11315,1736,1
11315,1937,1
11315,4191,1
11315,10935,1
11315,7170,1
11315,388697,1
11315,10694,1
11315,3615,1
11315,8662,1
11315,144983,1
11315,10971,1
11315,28973,1
11315,84717,1
11315,5160,1
11315,6742,1
11315,87,1
11315,9128,1
11315,29767,1
11315,50628,1
11315,3030,1
11315,5411,1
11315,10284,1
11315,1738,1
11315,5162,1
11315,5861,1
11315,10130,1
11315,1938,1
11315,51729,1
11315,11052,1
11315,10155,1
11315,64965,1
11315,4629,1
11315,4522,1
5160,29920,1
5160,302,1
5160,5831,1
5160,6161,1
5160,8290,1
5160,8540,1
5160,6158,1
5160,30968,1
5160,30,1
5160,9554,1
5160,10970,1
5160,3295,1
5160,4191,1
5160,8880,1
5160,54927,1
5160,26097,1
5160,6342,1
5160,6156,1
